Nama,Ratings,Location,Open,Close,Makanan
Krisna Wisata Kuliner Bali,4.3,"Jl. Raya Tuban, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361",09.00,23.00,Halal
JEBAK ( Jejak Bali Kuliner),4.3,"Jl. Teuku Umar No.212, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80113",11.00,22.00,Halal
Bebek Tepi Sawah,4.3,"Jalan Kartika Plaza,, Bintang Bali Hotel Arcade, Jl. Kartika Plaza, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361",10.30,23.00,Halal
Warung Kita Kuliner Tradisional Bali,4.8,"Jl. Gambuh, Pemecutan Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80231",11.00,22.00,Halal
BERANDA KULINER BALI / Warung BK Bali,4.7,"Jl. Kenyeri No.65, Tonja, Kec. Denpasar Utara, Kota Denpasar, Bali 80239",10.00,23.00,Non Halal
Warung Galeri Mbok Limbok,4.3,"Jl. Nakula, Barat, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361",02.00,23.00,Halal
Kuliner Bali De Muata (Nasi Lawar Sate Komoh),4.7,"Sukawati, Kec. Sukawati, Kabupaten Gianyar, Bali 80582",09.00,23.00,Non Halal
Galih Kuliner,4.6,"Taman Griya, Nuansa Kori, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",17.00,23.00,Halal
Lumbung Kuliner Dewi Sri,4.8,"Jl. Dewi Sri II No.4, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361",11.00,21.00,Halal
Sate Babi Bawah Pohon SBBP CAMPUHAN)ex Gelora Tri sakti Legian,4.5,"Campuhan I, Jl. Dewi Sri IV Jl. Campuhan I - Dewi Sri No.8, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361",08.00,21.00,Non Halal
Warung Sandat Kuliner,4.7,"Jl. Hayam Wuruk No.195, Sumerta Kelod, Kec. Denpasar Tim., Kota Denpasar, Bali 80239",09.00,21.00,Halal
Kuliner Nusantara,4.1,"The Banjar Bali, Jl. Raya Kuta No.46A, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361",09.00,21.30,Halal
Warung Balihol (hayam wuruk kuliner),4.6,"Jl. Hayam Wuruk, Sumerta Kelod, Kec. Denpasar Tim., Kota Denpasar, Bali 80239",10.30,20.30,Non Halal
