Nama,Rating,Location,Entrance Fee
Uluwatu Temple,4.6,"Pecatu, Kec. Kuta Sel., Kabupaten Badung",150000
Sacred Monkey Forest Sanctuary,4.5,Jl. Monkey Forest,80000
Banyumala Waterfall,4.8,Buleleng Regency,30000
Jatiluwih Rice Terraces,4.7,"Village, Jl. Jatiluwih Kawan No.Desa",40000
Bali Bird Park,4.6,Jl. Serma Cok Ngurah Gambir Singapadu,112000
Ulun Danu Beratan Temple,4.7,Danau Beratan,75000
Wanagiri Hidden Hill Bali,4.4,"Wanagiri, Jalan Raya Munduk",100000
Bali Zoo,4.4,Jl. Raya Singapadu,87000
Pengempu Waterfall,4.2,Jl. Seribupati,10000
Devil's Tears,4.6,Nusa Lembongan,0
Puri Langon Ubud,4.9,Kabupaten Gianyar,0
Tanah Lot,4.6,"Beraban, Kec. Kediri, Kabupaten Tabanan",60000
Tukad Cepung Waterfall,4.6,"Central parkir waterfall tukad cepung, Jl. Tembuku",15000
Sangeh Monkey Forest,4.5,Jl. Brahmana,15000
Secret Waterfall,2.8,Jl. Raya Laplapan No.7,10000
Hidden Canyon Beji Guwang,4.5,"Banjar Wangbung, Jl. Sahadewa",15000
Secret Garden Village,4.6,"Jl. Raya Denpasar Bedugul km. 36, Mekarsari, Baturiti, Mekarsari, Tabanan",100000
True Bali Experience,4.1,Jalan Tukad Ayung XI,100000
Istana Kepresidenan Tampaksiring,4.7,Jl. Dr. Ir. Soekarno,30000
Waterbom Bali,4.7,Jl. Kartika Plaza,1565000
Taman Mumbul Sangeh,4.6,Jln.brahmana No.38,20000
Leke Leke Waterfall,4.4,"Jln.brahmana No.38, Sangeh, Kec. Abiansemal",50000
BAS De ATAYANA (I Love BAS Agrotourism),4.4,Jalan Raya Jurusan Tampaksiring,0
Pengibul Waterfall,4.4,"Apuan, Kec. Susut, Kabupaten Bangli",15000
Balangan Beach,4.5,Jl. Pantai Balangan No.54,10000
Red Coral Munduk Waterfall,4.5,"Banyuatis, Banjar, Buleleng Regency",10000
Nusa Penida Tour Bali,5.0,Jl. Monkey Forest No.18,25000
