Nama,Rating,Location,Open,Close,Foto
Rama Krisna Oleh Oleh Bali 24 Jam,4.5,"Jl. Raya Tuban No.2X, Tuban,Kabupaten Badung",06.00,23.00,https://lh5.googleusercontent.com/p/AF1QipP_FG0g6KYiT8nEZtkaRjGCn0K2l2z-d9iwZIKB=w408-h544-k-no
Oleh Oleh Khas Bali,4.3,Jl. Veteran No.59,08.00,21.00,https://lh5.googleusercontent.com/p/AF1QipPMPOl9x_6mB_Plo1wXMgULZNUQ6DEsNHGEkyAK=w408-h306-k-no
Krisna Oleh oleh Khas Bali,4.4,"Jl. Seririt- Singaraja, Temukus,Kabupaten Buleleng,",08.00,22.00,https://lh5.googleusercontent.com/p/AF1QipPiPV1U2P6Iq5aC1HJe18QbJIM0rgGcG1FH6GlQ=w424-h240-k-no
Krisna Oleh  Oleh Bali Sunset Road,4.4,"Jl. Sunset Road No.88, Kuta,Kabupaten Badung",08.00,22.00,https://lh5.googleusercontent.com/p/AF1QipMfT18MFpe7oiFqt6nQtmfU16mA3wsD0qgI4qc=w408-h545-k-no
Prema Rasa Oleh Oleh Khas Bali,5.0,"Jl. Raya Kuta No.85, Tuban,Kabupaten Badung",08.00,23.00,https://lh5.googleusercontent.com/p/AF1QipOUJ9W9NZKSDFRiV9f2AdhWkczAYVWRbRQ6hshg=w408-h271-k-no
Krisna Oleh Oleh khas Bali Nusa Kambangan,4.4,"Jl. Nusa Kambangan No.160 A, Dauh Puri KauhKota Denpasar",08.00,22.00,https://lh5.googleusercontent.com/p/AF1QipPiPV1U2P6Iq5aC1HJe18QbJIM0rgGcG1FH6GlQ=w424-h240-k-no
Krisna Oleh-oleh Khas Bali Nusa Indah,4.4,Jl. Nusa Indah No.77,08.30,21.00,https://lh5.googleusercontent.com/p/AF1QipMRkLpr85UeAn0Pfp2iBfmhBzdfS1m4nlSBGK09=w408-h271-k-no
The Keranjang Bali - Surga Baru Oleh Oleh Bali,4.6,"Jl. Bypass Ngurah Rai No.97, Kuta, Kabupaten Badung",09.00,21.00,https://lh5.googleusercontent.com/p/AF1QipMszDANjpipcxD4RkRNeHZpOk9fvKXn5R6JcE_m=w122-h92-k-no
KRISNA Oleh-Oleh Khas Bali - Samasta Jimbaran,4.4,"Jl. Wanagiri, Jimbaran, Kabupaten Badung",10.00,22.00,https://lh5.googleusercontent.com/p/AF1QipNP9A1Gq_bLFfqaJ-aWZuUhgXo0KRq457MaRS0y=w408-h544-k-no
Larisa Oleh-oleh Bali,4.4,"Jl. Raya Kuta No.45 B, Kuta,Kabupaten Badung",09.00,22.00,https://lh5.googleusercontent.com/p/AF1QipOwFMlCX2eHwzuDAH1WYGMBgy7MoEe0nQc-2yd5=w163-h92-k-no
BELANJA Oleh Oleh Bali,3.8,"Jl. Tukad Yeh Aya No.175a, Renon,Kota Denpasar",09.00,18.00,https://lh5.googleusercontent.com/p/AF1QipO5R4-gWj9ugFLCfq8KfR1X-pSVX8gWSJ1qQDqP=w107-h92-k-no
Agung Bali Oleh-Oleh Sunset Road,4.4,"Jl. Sunset Road No.18,Kuta,Kabupaten Badung",08.00,22.00,https://lh5.googleusercontent.com/p/AF1QipPvpmroro3MpVwbLggV603-tK9diGU-1rLQ0izM=w163-h92-k-no
Agung Bali Oleh - oleh Dewi Sri,4.4,"Jl. Dewi Sri No.18XX, LegianKabupaten Badung",08.00,22.00,https://lh5.googleusercontent.com/p/AF1QipPA4Wi0d0Y8oPgFQQm6-DkFSQMIJMVoqaFfqwk4=w641-h92-k-no
