Nama,Rating,Location
Rama Krisna Oleh Oleh Bali 24 Jam,4.5,"Jl. Raya Tuban No.2X, Tuban,Kabupaten Badung"
Oleh Oleh Khas Bali,4.3,Jl. Veteran No.59
Krisna Oleh oleh Khas Bali,4.4,"Jl. Seririt- Singaraja, Temukus,Kabupaten Buleleng,"
Krisna Oleh  Oleh Bali Sunset Road,4.4,"Jl. Sunset Road No.88, Kuta,Kabupaten Badung"
Prema Rasa Oleh Oleh Khas Bali,5.0,"Jl. Raya Kuta No.85, Tuban,Kabupaten Badung"
Krisna Oleh Oleh khas Bali Nusa Kambangan,4.4,"Jl. Nusa Kambangan No.160 A, Dauh Puri KauhKota Denpasar"
Krisna Oleh-oleh Khas Bali Nusa Indah,4.4,Jl. Nusa Indah No.77
The Keranjang Bali - Surga Baru Oleh Oleh Bali,4.6,"Jl. Bypass Ngurah Rai No.97, Kuta, Kabupaten Badung"
KRISNA Oleh-Oleh Khas Bali - Samasta Jimbaran,4.4,"Jl. Wanagiri, Jimbaran, Kabupaten Badung"
Larisa Oleh-oleh Bali,4.4,"Jl. Raya Kuta No.45 B, Kuta,Kabupaten Badung"
Agung Bali Oleh-Oleh Sunset Road,4.4,"Jl. Sunset Road No.18,Kuta,Kabupaten Badung"
Agung Bali Oleh - oleh Dewi Sri,4.4,"Jl. Dewi Sri No.18XX, LegianKabupaten Badung"
Toko Oleh Oleh Khas Bali Mbak Tutik,4.5,"Jl. Sumatera No.29, Dauh Puri KanginKota Denpasar"
Oleh - Oleh Khas Bali,5.0,"Jl. Gunung Salak No.216, Tegallalang,Kota Denpasar"
Bali Jaen (Oleh-oleh khas Bali),5.0,"Jl. Glogor Carik, Pemogan,Kota Denpasar"
Surya Bali Oleh-Oleh Khas Bali,5.0,"Jl. Raya Kuta No.61, Kuta,Kabupaten Badung"
Kampung oleh-oleh Bali Murah,4.9,"Jl. Dewi Sri, Legian,Kabupaten Badung"
"TOKO KALIMANTA OLEHOLEH BALI""",4.0,"Jl. Sunset Road No.5, Kuta,Kota Denpasar"
Sunset Pusat Oleh - Oleh Bali,5.0,"Jl. Mekarsari - Baturiti Bedugul No.575, Mekarsari,  Kabupaten Tabanan"
Pie Susu Dhian Toko Bali,5.0,"Gg. J No.11, Panjer, Kota Denpasar"
Warung Oleh Oleh Putri Bali,5.0,"Jl. Patih Jelantik No.3, Dauh Puri Klod,Kota Denpasar"
Jepun Bali Oleh-oleh Bali (Souvenier),4.6,"Kuta, Kec. Kuta, Kabupaten Badung"
